Simulación,Secuencia,Peso [kg],V_Inicial_Z [m/s],V_Final_Z [m/s],KE_Inicial [J],KE_Final [J],KE_Abs [J],%KE_Abs [%]
case_0084_TCCTTCCTCCCC,TCCTTCCTCCCC,0.728438,180.5,69.88336181640625,814.50625,122.09210646906868,692.4141435309314,85.01029225140155
case_0085_TCCTTCCCTCCC,TCCTTCCCTCCC,0.728438,180.5,68.74640655517578,814.50625,118.1517103562379,696.3545396437621,85.49406952294866
case_0086_TCCTTCCCCTCC,TCCTTCCCCTCC,0.728438,180.5,66.7302474975586,814.50625,111.32314827713563,703.1831017228644,86.33243780791913
case_0087_TCCTTCCCCCTC,TCCTTCCCCCTC,0.728438,180.5,47.01443099975586,814.50625,55.258918055770124,759.2473319442299,93.21565450777449
case_0088_TCCTTCCCCCCT,TCCTTCCCCCCT,0.728438,180.5,36.109519958496094,814.50625,32.59743579082569,781.9088142091744,95.99789003573322
case_0089_TCCTCTTCCCCC,TCCTCTTCCCCC,0.728438,180.5,30.151386260986328,814.50625,22.727652336479878,791.7785976635201,97.20964052314149
case_0090_TCCTCTCTCCCC,TCCTCTCTCCCC,0.728438,180.5,14.8729887008667,814.50625,5.530144822402713,808.9761051775973,99.32104329188356
case_0091_TCCTCTCCTCCC,TCCTCTCCTCCC,0.728438,180.5,-0.099063403904438,814.50625,0.0002453389498283456,814.5060046610502,99.9999698788131
case_0092_TCCTCTCCCTCC,TCCTCTCCCTCC,0.728438,180.5,2.054565191268921,814.50625,0.10553095312934745,814.4007190468707,99.98704356742145
case_0093_TCCTCTCCCCTC,TCCTCTCCCCTC,0.728438,180.5,13.435399055480955,814.50625,4.512748694500464,809.9935013054995,99.4459528463409
case_0094_TCCTCTCCCCCT,TCCTCTCCCCCT,0.728438,180.5,2.781146287918091,814.50625,0.1933693668700144,814.31288063313,99.97625931453933
case_0095_TCCTCCTTCCCC,TCCTCCTTCCCC,0.728438,180.5,55.88816452026367,814.50625,78.08717333610149,736.4190766638985,90.41294362859689
case_0096_TCCTCCTCTCCC,TCCTCCTCTCCC,0.728438,180.5,17.17659568786621,814.50625,7.375885985610603,807.1303640143894,99.094434697633
case_0097_TCCTCCTCCTCC,TCCTCCTCCTCC,0.728438,180.5,1.9747722148895264,814.50625,0.09749313251749214,814.4087568674826,99.98803040093094
case_0098_TCCTCCTCCCTC,TCCTCCTCCCTC,0.728438,180.5,3.641278028488159,814.50625,0.3314726420187654,814.1747773579813,99.95930385530882
case_0099_TCCTCCTCCCCT,TCCTCCTCCCCT,0.728438,180.5,45.31031036376953,814.50625,51.32560563152802,763.180644368472,93.69856208819417
case_0100_TCCTCCCTTCCC,TCCTCCCTTCCC,0.728438,180.5,3.1433608531951904,814.50625,0.2470179363349999,814.259232063665,99.96967267760867
case_0101_TCCTCCCTCTCC,TCCTCCCTCTCC,0.728438,180.5,2.244567394256592,814.50625,0.12595206968399567,814.380297930316,99.98453639002966
case_0102_TCCTCCCTCCTC,TCCTCCCTCCTC,0.728438,180.5,4.905817985534668,814.50625,0.6016762526798858,813.9045737473201,99.9261299403559
case_0103_TCCTCCCTCCCT,TCCTCCCTCCCT,0.728438,180.5,4.219456672668457,814.50625,0.4450953653131592,814.0611546346869,99.94535396563094
case_0104_TCCTCCCCTTCC,TCCTCCCCTTCC,0.728438,180.5,43.336421966552734,814.50625,46.95113672157786,767.5551132784221,94.23563211189872
case_0105_TCCTCCCCTCTC,TCCTCCCCTCTC,0.728438,180.5,32.59343338012695,814.50625,26.55829748761935,787.9479525123807,96.73933779051795
case_0106_TCCTCCCCTCCT,TCCTCCCCTCCT,0.728438,180.5,3.625554800033569,814.50625,0.3286161902011613,814.1776338097989,99.95965455265676
case_0107_TCCTCCCCCTTC,TCCTCCCCCTTC,0.728438,180.5,36.291202545166016,814.50625,32.926284554356606,781.5799654456434,95.95751603448635
case_0108_TCCTCCCCCTCT,TCCTCCCCCTCT,0.728438,180.5,17.725645065307617,814.50625,7.854962324531607,806.6512876754684,99.03561669115103
case_0109_TCCTCCCCCCTT,TCCTCCCCCCTT,0.728438,180.5,5.893867015838623,814.50625,0.8684417100097619,813.6378082899903,99.89337814043665
case_0110_TCCCTTTCCCCC,TCCCTTTCCCCC,0.728438,180.5,58.34994125366211,814.50625,85.11789110764549,729.3883588923545,89.54975592788324
case_0111_TCCCTTCTCCCC,TCCCTTCTCCCC,0.728438,180.5,36.34098815917969,814.50625,33.01668550964096,781.489564490359,95.94641716872756
case_0112_TCCCTTCCTCCC,TCCCTTCCTCCC,0.728438,180.5,41.78955841064453,814.50625,43.65917980391678,770.8470701960832,94.63979806122829
case_0113_TCCCTTCCCTCC,TCCCTTCCCTCC,0.728438,180.5,13.90286350250244,814.50625,4.83224033923036,809.6740096607697,99.40672765381109
case_0114_TCCCTTCCCCTC,TCCCTTCCCCTC,0.728438,180.5,3.0305819511413574,814.50625,0.22961067406459393,814.2766393259354,99.97180983275885
case_0115_TCCCTTCCCCCT,TCCCTTCCCCCT,0.728438,180.5,22.28765106201172,814.50625,12.418484746549803,802.0877652534502,98.47533585573471
case_0116_TCCCTCTTCCCC,TCCCTCTTCCCC,0.728438,180.5,-5.004900932312012,814.50625,0.6262258335564411,813.8800241664436,99.92311589585022
case_0117_TCCCTCTCTCCC,TCCCTCTCTCCC,0.728438,180.5,-1.2588292360305786,814.50625,0.039616276137133255,814.4666337238629,99.99513616057123
case_0118_TCCCTCTCCTCC,TCCCTCTCCTCC,0.728438,180.5,0.5738466382026672,814.50625,0.008232499104412571,814.4980175008956,99.99898926507875
case_0119_TCCCTCTCCCTC,TCCCTCTCCCTC,0.728438,180.5,2.4043469429016118,814.50625,0.14452210554600817,814.361727894454,99.98225647678626
